Station,Lat,Lon,UTM_X,UTM_Y,Elev,File
107,-20.4461,140.4834,446114.2465269208,7739067.152060735,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\107.edi
108,-20.446666666666665,140.50131666666667,447983.3337841913,7739010.224185656,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\108.edi
109R,-20.446916666666667,140.52068333333335,450003.5496985343,7738988.580137823,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\109R.edi
110,-20.446766666666665,140.53978333333333,451995.8147195995,7739010.886949466,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\110.edi
118c,-20.4263,140.46495,444182.5684224624,7741252.231630111,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\118c.edi
119,-20.428616666666667,140.48385,446155.0997925107,7741002.161661113,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\119.edi
120,-20.42853333333333,140.50173333333333,448020.70217054215,7741017.148737268,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\120.edi
121,-20.428700000000003,140.5208,450009.8312645189,7741004.626237607,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\121.edi
122,-20.428733333333334,140.53975,451986.7396338163,7741006.594379456,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\122.edi
123,-20.428800000000003,140.5591,454005.38163391326,7741004.757496471,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\123.edi
130,-20.410966666666667,140.44601666666668,442201.6367631915,7742942.608069173,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\130.edi
131,-20.410166666666665,140.46303333333333,443976.7758353558,7743037.038182169,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\131.edi
132,-20.41085,140.48545,446315.8547545709,7742968.899394749,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\132.edi
133,-20.410733333333333,140.50143333333332,447983.4248501641,7742986.952635571,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\133.edi
134,-20.410566666666664,140.52290000000002,450223.0769492833,7743012.047931944,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\134.edi
135,-20.41055,140.54023333333333,452031.5278266903,7743019.048846742,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\135.edi
136,-20.410716666666666,140.55870000000002,453958.2751433736,7743005.887890072,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\136.edi
137,-20.410766666666664,140.5784,456013.6592604498,7743005.752321064,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\137.edi
138,-20.410666666666664,140.5963,457881.1976429982,7743021.5099313,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\138.edi
144,-20.39175,140.42544999999998,440048.3806196957,7745061.932739783,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\144.edi
145,-20.39228333333333,140.44411666666667,441996.4073537351,7745009.604797924,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\145.edi
146,-20.39175,140.46265,443930.1173131723,7745075.057078112,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\146.edi
147,-20.3928,140.48426666666666,446186.1241833213,7744966.078294313,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\147.edi
148,-20.39268333333333,140.50145,447979.1044207349,7744984.519880669,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\148.edi
149,-20.39313333333333,140.52073333333334,449991.3937293551,7744940.70231203,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\149.edi
150,-20.39268333333333,140.53991666666667,451992.9538043545,7744996.220657375,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\150.edi
151,-20.392816666666665,140.55911666666668,453996.4335974674,7744986.953893926,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\151.edi
152,-20.3927,140.57823333333332,455991.1395912528,7745005.097731588,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\152.edi
153,-20.3927,140.5976333333333,458015.4409819802,7745010.170807727,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\153.edi
154,-20.392866666666663,140.61673333333334,460008.4781500531,7744996.487617971,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\154.edi
160,-20.373,140.42575,440072.4414347752,7747137.086851176,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\160.edi
161,-20.373933333333333,140.44358333333335,441933.886290833,7747040.189111921,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\161.edi
162,-20.3755,140.46031666666664,443680.7395610587,7746872.624019185,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\162.edi
163,-20.3744,140.4827,446016.2442381381,7747001.860923128,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\163.edi
164,-20.374266666666667,140.50018333333333,447840.7394920673,7747022.255016405,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\164.edi
170,-20.356333333333332,140.42501666666666,439989.4687127125,7748981.300349783,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\170.edi
