Rank,Station_ID,Projected_Dist_m,Elevation_m,Physics_Entropy_Score
1,G04A,-224495.57715863193,272.8,0.9999997717487376
2,G06A,388474.5804436752,780.0,0.4759334698712249
3,F05A,21429.480393794074,454.8,0.36259603459867806
4,F05D,21268.88278695324,472.0,0.3621473862969229
5,F06A,328367.55700831587,577.0,0.26462466039504184
6,F04A,-143570.34102151322,211.2,0.15951841916788573
7,E04A,-387241.29915526387,215.2,0.13743638249735907
8,G05D,93635.79978236713,592.0,0.13533211234067702
9,G05A,93635.79978236713,594.4,0.13533211234067702
10,E04D,-374844.2390044416,204.0,0.07124922925028278
11,E05A,-57312.707100569445,1481.0,0.003577460307632232
12,E06A,240652.06324294693,911.0,0.0
